country,city,perform,latitude,longitude,ip
Germany,None,Unban,51.2993,9.491,185.220.102.4
Romania,Bucharest,Found,44.4333,26.1,185.100.87.41
Romania,Bucharest,Ban,44.4333,26.1,185.100.87.41
Poland,Warsaw,Found,52.2488,21.0024,51.83.129.84
Poland,Warsaw,Ban,52.2488,21.0024,51.83.129.84
Romania,Bucharest,Unban,44.4333,26.1,185.100.87.41
Poland,Warsaw,Unban,52.2488,21.0024,51.83.129.84
United States,None,Found,37.751,-97.822,23.129.64.197
United States,None,Ban,37.751,-97.822,23.129.64.197
United States,Las Vegas,Found,36.1685,-115.1164,209.141.54.153
United States,Las Vegas,Ban,36.1685,-115.1164,209.141.54.153
United States,None,Unban,37.751,-97.822,23.129.64.197
United States,Las Vegas,Unban,36.1685,-115.1164,209.141.54.153
France,None,Found,48.8582,2.3387,51.83.139.55
France,None,Ban,48.8582,2.3387,51.83.139.55
Netherlands,Amsterdam,Found,52.3759,4.8975,192.42.116.26
Netherlands,Amsterdam,Ban,52.3759,4.8975,192.42.116.26
Germany,None,Found,51.2993,9.491,51.75.144.43
Germany,None,Ban,51.2993,9.491,51.75.144.43
Luxembourg,Roost,Found,49.7867,6.0961,104.244.79.241
Luxembourg,Roost,Ban,49.7867,6.0961,104.244.79.241
Germany,None,Found,51.2993,9.491,185.220.102.246
