date,action,server_port,message,ssh,perform,ip,asn,network_provider,domain,route,type,calling_code,city,continent_code,continent,country_code,country,is_eu,latitude,longitude,postal,region,region_code,is_tor,is_proxy,is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,status
2020-10-04 12:22:32.875,filter,519,INFO,sshd,Found,141.98.9.162,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:32.879,filter,519,INFO,sshd,Found,141.98.9.162,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:33.413,actions,519,NOTICE,sshd,Ban,141.98.9.162,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:34.490,filter,519,INFO,sshd,Found,141.98.9.162,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:26:55.042,actions,519,NOTICE,sshd,Unban,54.38.185.131,AS16276,OVH SAS,ovh.com,54.38.0.0/16,hosting,33,None,EU,Europe,FR,France,True,48.8582,2.3387,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:42:10.087,actions,519,NOTICE,sshd,Unban,141.98.10.210,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:42:20.119,actions,519,NOTICE,sshd,Unban,141.98.10.211,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:42:28.147,actions,519,NOTICE,sshd,Unban,141.98.10.212,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:42:38.177,actions,519,NOTICE,sshd,Unban,141.98.10.213,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:42:46.207,actions,519,NOTICE,sshd,Unban,141.98.10.214,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:42:50.227,actions,519,NOTICE,sshd,Unban,141.98.10.209,AS209605,UAB Host Baltic,serveroffer.net,141.98.10.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:51:21.716,filter,519,INFO,sshd,Found,193.228.91.108, None, None, None, None, None,44,None,EU,Europe,GB,United Kingdom,True,51.4964,-0.1224,None,None,None,False,False,False,False,True,False,False,200
2020-10-04 12:51:21.914,actions,519,NOTICE,sshd,Ban,193.228.91.108, None, None, None, None, None,44,None,EU,Europe,GB,United Kingdom,True,51.4964,-0.1224,None,None,None,False,False,False,False,True,False,False,200
2020-10-04 12:51:23.778,filter,519,INFO,sshd,Found,193.228.91.108, None, None, None, None, None,44,None,EU,Europe,GB,United Kingdom,True,51.4964,-0.1224,None,None,None,False,False,False,False,True,False,False,200
2020-10-04 13:25:27.810,filter,519,INFO,sshd,Found,193.228.91.123, None, None, None, None, None,44,None,EU,Europe,GB,United Kingdom,True,51.4964,-0.1224,None,None,None,False,False,False,False,True,False,False,200
2020-10-04 13:25:28.097,actions,519,NOTICE,sshd,Ban,193.228.91.123, None, None, None, None, None,44,None,EU,Europe,GB,United Kingdom,True,51.4964,-0.1224,None,None,None,False,False,False,False,True,False,False,200
2020-10-04 13:25:29.417,filter,519,INFO,sshd,Found,193.228.91.123, None, None, None, None, None,44,None,EU,Europe,GB,United Kingdom,True,51.4964,-0.1224,None,None,None,False,False,False,False,True,False,False,200
2020-10-04 13:27:49.476,filter,519,INFO,sshd,Found,35.230.150.70,AS15169,Google LLC,google.com,35.228.0.0/14,hosting,44,London,EU,Europe,GB,United Kingdom,True,51.5164,-0.09300000000000001,EC2V,England,ENG,False,False,False,False,False,False,False,200
2020-10-04 13:27:49.514,actions,519,NOTICE,sshd,Ban,35.230.150.70,AS15169,Google LLC,google.com,35.228.0.0/14,hosting,44,London,EU,Europe,GB,United Kingdom,True,51.5164,-0.09300000000000001,EC2V,England,ENG,False,False,False,False,False,False,False,200
2020-10-04 13:27:51.578,filter,519,INFO,sshd,Found,35.230.150.70,AS15169,Google LLC,google.com,35.228.0.0/14,hosting,44,London,EU,Europe,GB,United Kingdom,True,51.5164,-0.09300000000000001,EC2V,England,ENG,False,False,False,False,False,False,False,200
2020-10-04 13:29:59.313,filter,519,INFO,sshd,Found,90.209.9.28,AS5607,Sky UK Limited,sky.com,90.192.0.0/11,isp,44,Porth,EU,Europe,GB,United Kingdom,True,51.6008,-3.4253,CF39,Wales,WLS,False,False,False,False,False,False,False,200
2020-10-04 13:29:59.316,filter,519,INFO,sshd,Found,90.209.9.28,AS5607,Sky UK Limited,sky.com,90.192.0.0/11,isp,44,Porth,EU,Europe,GB,United Kingdom,True,51.6008,-3.4253,CF39,Wales,WLS,False,False,False,False,False,False,False,200
2020-10-04 13:29:59.750,actions,519,NOTICE,sshd,Ban,90.209.9.28,AS5607,Sky UK Limited,sky.com,90.192.0.0/11,isp,44,Porth,EU,Europe,GB,United Kingdom,True,51.6008,-3.4253,CF39,Wales,WLS,False,False,False,False,False,False,False,200
2020-10-04 13:30:01.264,filter,519,INFO,sshd,Found,90.209.9.28,AS5607,Sky UK Limited,sky.com,90.192.0.0/11,isp,44,Porth,EU,Europe,GB,United Kingdom,True,51.6008,-3.4253,CF39,Wales,WLS,False,False,False,False,False,False,False,200
2020-10-04 13:30:53.635,filter,519,INFO,sshd,Found,31.185.123.70,AS42560,Telemach d.o.o. Sarajevo,telemach.ba,31.185.112.0/20,isp,387,Mostar,EU,Europe,BA,Bosnia and Herzegovina,False,43.3433,17.8081,None,Federation of B&H,BIH,False,False,False,False,False,False,False,200
2020-10-04 13:30:53.636,filter,519,INFO,sshd,Found,31.185.123.70,AS42560,Telemach d.o.o. Sarajevo,telemach.ba,31.185.112.0/20,isp,387,Mostar,EU,Europe,BA,Bosnia and Herzegovina,False,43.3433,17.8081,None,Federation of B&H,BIH,False,False,False,False,False,False,False,200
2020-10-04 13:30:53.860,actions,519,NOTICE,sshd,Ban,31.185.123.70,AS42560,Telemach d.o.o. Sarajevo,telemach.ba,31.185.112.0/20,isp,387,Mostar,EU,Europe,BA,Bosnia and Herzegovina,False,43.3433,17.8081,None,Federation of B&H,BIH,False,False,False,False,False,False,False,200
2020-10-04 13:30:55.634,filter,519,INFO,sshd,Found,31.185.123.70,AS42560,Telemach d.o.o. Sarajevo,telemach.ba,31.185.112.0/20,isp,387,Mostar,EU,Europe,BA,Bosnia and Herzegovina,False,43.3433,17.8081,None,Federation of B&H,BIH,False,False,False,False,False,False,False,200
