asn,network_provider,domain,route,type,country
AS4808,China Unicom Beijing Province Network,chinaunicom.com,210.12.0.0/19,isp,124
AS134762,CHINANET Sichuan province Chengdu MAN network,None,59.46.128.0/18,isp,124
AS14061,DigitalOcean,digitalocean.com,128.199.64.0/18,hosting,130
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,139.199.44.0/23,hosting,124
AS55577,Atria Convergence Technologies pvt ltd,actcorp.in,183.83.216.0/22,isp,128
AS24186,RailTel Corporation of India Ltd. Internet Service Provider New Delhi,railtelindia.com,122.252.239.0/24,isp,128
 None, None, None, None, None,166
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.12.10.0/23,hosting,124
AS14061,DigitalOcean,digitalocean.com,45.55.192.0/18,hosting,211
AS17816,China UnicomIP network China169 Guangdong province,chinaunicom.cn,27.36.0.0/14,isp,124
AS8580,MTS PJSC,mts.ru,195.122.224.0/19,isp,185
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.12.192.0/20,hosting,124
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,60.208.0.0/13,isp,124
AS29256,Syrian Telecom,syriantelecom.com.sy,213.178.224.0/19,isp,135
AS31034,Aruba S.p.A.,aruba.it,89.46.72.0/21,hosting,176
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,218.60.0.0/16,isp,124
AS3484,Instituto Politecnico Nacional,ipn.mx,148.204.0.0/17,edu,214
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,123.207.10.0/23,hosting,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,119.45.32.0/20,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.235.240.0/20,isp,124
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.13.6.0/23,hosting,124
AS17816,China UnicomIP network China169 Guangdong province,chinaunicom.cn,58.248.0.0/13,isp,124
AS25490,PJSC Rostelecom,rt.ru,85.172.0.0/19,isp,185
AS6400,Compania Dominicana de Telefonos, claro.com.do,148.101.0.0/17,isp,215
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.233.96.0/20,isp,124
AS38700,None,None,49.247.128.0/17,hosting,125
AS36352,ColoCrossing,colocrossing.com,107.175.32.0/21,hosting,211
AS132203,Tencent Building, tencent.com,170.106.32.0/22,isp,211
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,218.104.224.0/19,isp,124
AS6713,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,iam.ma,194.204.192.0/18,hosting,227
AS52892,COPREL TELECOM LTDA,coprel.com.br,177.22.81.0/24,isp,166
AS3269,Telecom Italia S.p.A.,tim.it,2.114.0.0/15,isp,176
AS14061,DigitalOcean,digitalocean.com,167.99.192.0/20,hosting,183
AS12876,ONLINE S.A.S.,online.net,163.172.0.0/16,hosting,175
AS30722,Vodafone Italia S.p.A.,vodafone.it,188.152.176.0/20,isp,176
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.235.192.0/20,isp,124
AS4788,TM Net,tm.com.my,60.52.64.0/18,isp,136
AS203540,Witel Srl,witel.it,91.204.248.0/24,isp,176
AS8100,QuadraNet Enterprises LLC,quadranet.com,45.84.196.0/24,hosting,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,111.230.244.0/23,hosting,124
AS5438,Agence Tunisienne dInternet,ati.tn,197.5.128.0/18,isp,228
AS137702,ChiZhou,chizhou.gov.cn,180.97.0.0/18,gov,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,122.152.220.0/23,hosting,124
AS18116,HGC Global Communications Limited,hgc.com.hk,223.17.128.0/18,isp,134
AS4760,HKT Limited,hkt.com,42.98.112.0/20,isp,134
AS15169,Google LLC,google.com,35.244.0.0/14,hosting,130
AS9269,Hong Kong Broadband Network Ltd.,hkbn.net,119.246.128.0/18,isp,134
AS4766,Korea Telecom,kt.com,61.72.0.0/13,isp,125
AS6181,Cincinnati Bell Telephone Company LLC,cincinnatibell.com,74.83.128.0/17,isp,211
AS4766,Korea Telecom,kt.com,125.136.0.0/13,isp,125
AS57993,FOP Khalik Andrey Volodumurovuch,halik.com.ua,91.237.120.0/24,isp,179
AS4773,MobileOne Ltd. Mobile/Internet Service Provider Singapore,m1.com.sg,112.199.192.0/18,isp,130
AS9845,None,None,123.248.132.0/22,isp,125
AS4760,HKT Limited,hkt.com,1.36.96.0/19,isp,134
AS11664,Techtel LMDS Comunicaciones Interactivas S.A.,claro.com.ar,190.220.214.0/24,isp,169
AS16229,Primetel PLC,primetel.com.cy,46.21.57.0/24,isp,192
AS39651,Com Hem AB,comhem.se,213.100.192.0/19,isp,187
AS4766,Korea Telecom,kt.com,218.144.0.0/13,isp,125
AS31898,Oracle Corporation,oracle.com,132.145.176.0/20,hosting,211
AS53003,EVOLUNET PROVEDORA DE INTERNET LTDA PE,evolunet.com.br,177.55.133.0/24,isp,166
AS1221,Telstra Corporation Ltd,telstra.com.au,144.132.0.0/14,isp,250
AS3462,Data Communication Business Group,cht.com.tw,1.160.0.0/16,isp,127
AS263332,Netfi servicos de comunicacoes ltda epp,netfi.com.br,191.36.129.0/24,isp,166
AS48437,PP Merezha,arm.in.ua,178.54.128.0/17,isp,179
AS4760,HKT Limited,hkt.com,116.49.160.0/19,isp,134
AS45899,VNPT Corp,vnptcorp.com,14.183.32.0/20,isp,133
AS14117,Telefonica del Sur S.A.,telsur.cl,179.57.40.0/21,isp,168
AS28573,CLARO S.A.,claro.com.br,191.186.192.0/20,isp,166
AS812,Rogers Communications Canada Inc.,rogers.com,99.241.0.0/17,isp,210
AS28573,CLARO S.A.,claro.com.br,177.141.32.0/19,isp,166
AS4766,Korea Telecom,kt.com,112.160.0.0/13,isp,125
AS3320,Deutsche Telekom AG,telekom.com,91.0.0.0/10,isp,177
AS14061,DigitalOcean,digitalocean.com,138.68.96.0/20,hosting,177
AS4847,China Networks Inter-Exchange,None,106.37.0.0/16,isp,124
AS4804,Microplex PTY LTD,optus.net.au,175.36.0.0/16,isp,250
AS14061,DigitalOcean,digitalocean.com,165.227.96.0/20,hosting,211
AS17622,China Unicom Guangzhou network,mychinaunicom.com,58.249.55.0/24,isp,124
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,42.63.0.0/16,isp,124
AS5384,Emirates Telecommunications Corporation,etisalat.com,86.96.192.0/19,isp,137
AS14061,DigitalOcean,digitalocean.com,159.65.0.0/20,hosting,130
AS18302,None,None,58.102.0.0/16,isp,125
AS16276,OVH SAS,ovh.com,193.70.0.0/17,hosting,175
AS4134,Jin-rong Street,None,119.60.0.0/16,isp,124
AS14061,DigitalOcean,digitalocean.com,178.128.208.0/20,hosting,130
AS9808,Guangdong Mobile Communication Co.Ltd.,chinamobile.com,120.203.0.0/16,isp,124
AS57378,JSC ER-Telecom Holding,ertelecom.ru,94.180.56.0/22,isp,185
AS6079,RCN,rcn.com,146.115.0.0/16,isp,211
AS4766,Korea Telecom,kt.com,175.200.0.0/13,isp,125
AS17962,ShenZhen Topway Video Communication Co. Ltd,cnnic.cn,111.222.0.0/16,isp,124
AS4760,HKT Limited,hkt.com,112.118.128.0/19,isp,134
AS701,MCI Communications Services d/b/a Verizon Business,bloomberg.com,100.1.0.0/16,isp,211
AS18809,Cable Onda,cableonda.com,190.218.64.0/18,isp,212
AS2119,Telenor Norge AS,telenor.no,213.112.0.0/14,isp,187
AS4766,Korea Telecom,kt.com,220.80.0.0/13,isp,125
AS18116,HGC Global Communications Limited,hgc.com.hk,223.16.192.0/18,isp,134
AS4760,HKT Limited,hkt.com,219.77.128.0/19,isp,134
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,112.224.0.0/11,isp,124
AS29518,Bredband2 AB,bredband2.com,83.233.0.0/16,isp,187
AS12389,PJSC Rostelecom,rt.ru,92.49.128.0/18,isp,185
AS56676,OOO Modern Communication Systems,pokrov.net,31.130.120.0/21,isp,185
AS15169,Google LLC,google.com,34.92.0.0/14,hosting,166
AS4766,Korea Telecom,kt.com,118.32.0.0/13,isp,125
AS3215,Orange S.A.,orange.com,86.228.0.0/16,isp,175
AS174,Cogent Communications,cogentco.com,192.240.102.0/23,hosting,211
AS4760,HKT Limited,hkt.com,112.118.96.0/19,isp,134
AS4760,HKT Limited,hkt.com,219.73.32.0/19,isp,134
AS24400,Shanghai Mobile Communications Co.,chinamobile.com,120.204.0.0/16,isp,124
AS9304,HGC Global Communications Limited,hgc.com.hk,223.19.0.0/18,isp,134
AS852,TELUS Communications Inc.,telus.com,75.156.128.0/18,isp,210
AS4766,Korea Telecom,kt.com,59.0.0.0/13,isp,125
AS4766,Korea Telecom,kt.com,119.200.0.0/13,isp,125
AS17858,None,None,180.228.0.0/14,isp,125
AS4766,Korea Telecom,kt.com,121.126.0.0/16,isp,125
AS4766,Korea Telecom,kt.com,115.144.0.0/16,isp,125
AS16276,OVH SAS,ovh.com,217.182.0.0/16,hosting,175
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,115.159.52.0/23,hosting,124
