date_1,action,server_port,message,ssh,perform,ip,date_2
"2020-10-02 11:04:50,127",filter,519,INFO,sshd,Found,188.170.13.225,10/2/2020 11:04
"2020-10-02 11:04:50,726",actions,519,NOTICE,sshd,Ban,188.170.13.225,
"2020-10-02 11:04:50,901",filter,519,INFO,sshd,Found,220.186.166.32,10/2/2020 11:04
"2020-10-02 11:04:52,040",filter,519,INFO,sshd,Found,188.170.13.225,10/2/2020 11:04
"2020-10-02 11:06:32,997",filter,519,INFO,sshd,Found,108.243.153.120,10/2/2020 11:06
"2020-10-02 11:06:33,120",actions,519,NOTICE,sshd,Ban,108.243.153.120,
"2020-10-02 11:06:47,173",actions,519,NOTICE,sshd,Unban,51.38.130.205,
"2020-10-02 11:16:00,016",actions,519,NOTICE,sshd,Unban,103.4.217.138,Asia,TH,Thailand,None,None,13.7442,100.4608,103.4.216.0/23,,
"2020-10-02 11:16:14,073",actions,519,NOTICE,sshd,Unban,185.132.53.85,Europe,DE,Germany,None,None,51.2993,9.491,185.132.53.0/24,,
"2020-10-02 11:16:47,777",filter,519,INFO,sshd,Found,123.20.190.40,10/2/2020 11:16
"2020-10-02 11:16:47,940",filter,519,INFO,sshd,Found,123.20.190.40,10/2/2020 11:16
"2020-10-02 11:16:48,144",actions,519,NOTICE,sshd,Ban,123.20.190.40,
"2020-10-02 11:16:50,646",filter,519,INFO,sshd,Found,123.20.190.40,10/2/2020 11:16
"2020-10-02 11:16:50,771",actions,519,NOTICE,sshd,already banned,123.20.190.40,
"2020-10-02 11:17:20,215",actions,519,NOTICE,sshd,Unban,167.172.222.221,North America,US,United States,Santa Clara,95051,37.3417,-121.9753,167.172.192.0/19,,
"2020-10-02 11:17:44,271",actions,519,NOTICE,sshd,Unban,91.121.164.188,Europe,FR,France,None,None,48.8582,2.3387,91.121.128.0/18,,
"2020-10-02 11:18:52,391",actions,519,NOTICE,sshd,Unban,140.143.222.87,Asia,CN,China,None,None,34.7725,113.7266,140.143.0.0/16,,
"2020-10-02 11:19:04,430",actions,519,NOTICE,sshd,Unban,49.232.137.54,Asia,CN,China,None,None,34.7725,113.7266,49.232.0.0/14,,
"2020-10-02 11:19:54,555",actions,519,NOTICE,sshd,Unban,117.4.44.66,Asia,VN,Vietnam,None,None,16.0,106.0,117.4.0.0/18,,
"2020-10-02 11:25:51,106",actions,519,NOTICE,sshd,Unban,62.234.15.136,Asia,CN,China,None,None,34.7725,113.7266,62.234.0.0/16,,
"2020-10-02 11:26:19,211",actions,519,NOTICE,sshd,Unban,119.45.143.143,
"2020-10-02 11:26:49,282",actions,519,NOTICE,sshd,Unban,103.215.170.21,
"2020-10-02 11:27:37,381",actions,519,NOTICE,sshd,Unban,119.29.128.126,
"2020-10-02 11:27:55,435",actions,519,NOTICE,sshd,Unban,51.75.158.163,
"2020-10-02 11:38:51,368",filter,519,INFO,sshd,Found,49.207.4.2,10/2/2020 11:38
"2020-10-02 11:38:51,592",filter,519,INFO,sshd,Found,49.207.4.2,10/2/2020 11:38
"2020-10-02 11:38:51,657",actions,519,NOTICE,sshd,Ban,49.207.4.2,
"2020-10-02 11:38:54,300",filter,519,INFO,sshd,Found,49.207.4.2,10/2/2020 11:38
"2020-10-02 11:51:51,258",filter,519,INFO,sshd,Found,31.40.27.192,10/2/2020 11:51
"2020-10-02 11:51:51,510",actions,519,NOTICE,sshd,Ban,31.40.27.192,
"2020-10-02 11:52:58,133",filter,519,INFO,sshd,Found,120.89.61.191,10/2/2020 11:52
"2020-10-02 11:52:58,134",filter,519,INFO,sshd,Found,120.89.61.191,10/2/2020 11:52
"2020-10-02 11:52:58,236",actions,519,NOTICE,sshd,Ban,120.89.61.191,
"2020-10-02 11:53:00,192",filter,519,INFO,sshd,Found,120.89.61.191,10/2/2020 11:53
"2020-10-02 11:54:42,600",filter,519,INFO,sshd,Found,81.68.203.111,10/2/2020 11:54
"2020-10-02 11:54:42,602",filter,519,INFO,sshd,Found,81.68.203.111,10/2/2020 11:54
"2020-10-02 11:54:42,611",actions,519,NOTICE,sshd,Ban,81.68.203.111,
"2020-10-02 11:54:44,273",filter,519,INFO,sshd,Found,81.68.203.111,10/2/2020 11:54
"2020-10-02 11:56:43,582",filter,519,INFO,sshd,Found,149.56.102.43,10/2/2020 11:56
"2020-10-02 11:56:44,044",actions,519,NOTICE,sshd,Ban,149.56.102.43,
"2020-10-02 11:56:45,237",filter,519,INFO,sshd,Found,149.56.102.43,10/2/2020 11:56
"2020-10-02 11:58:15,401",filter,519,INFO,sshd,Found,202.153.37.194,10/2/2020 11:58
"2020-10-02 11:58:15,407",filter,519,INFO,sshd,Found,202.153.37.194,10/2/2020 11:58
"2020-10-02 11:58:16,193",actions,519,NOTICE,sshd,Ban,202.153.37.194,
"2020-10-02 11:58:17,012",filter,519,INFO,sshd,Found,202.153.37.194,10/2/2020 11:58
"2020-10-02 12:01:20,829",filter,519,INFO,sshd,Found,58.87.90.156,10/2/2020 12:01
"2020-10-02 12:01:20,829",filter,519,INFO,sshd,Found,58.87.90.156,10/2/2020 12:01
"2020-10-02 12:01:21,077",actions,519,NOTICE,sshd,Ban,58.87.90.156,
"2020-10-02 12:01:22,436",filter,519,INFO,sshd,Found,58.87.90.156,10/2/2020 12:01
"2020-10-02 12:01:33,654",filter,519,INFO,sshd,Found,49.234.124.225,10/2/2020 12:01
"2020-10-02 12:01:33,718",actions,519,NOTICE,sshd,Ban,49.234.124.225,
"2020-10-02 12:01:35,351",filter,519,INFO,sshd,Found,49.234.124.225,10/2/2020 12:01
"2020-10-02 12:03:18,930",filter,519,INFO,sshd,Found,106.12.111.201,10/2/2020 12:03
"2020-10-02 12:03:18,978",filter,519,INFO,sshd,Found,106.12.111.201,10/2/2020 12:03
"2020-10-02 12:03:19,093",actions,519,NOTICE,sshd,Ban,106.12.111.201,
"2020-10-02 12:03:21,685",filter,519,INFO,sshd,Found,106.12.111.201,10/2/2020 12:03
"2020-10-02 12:03:21,723",actions,519,NOTICE,sshd,already banned,106.12.111.201,
"2020-10-02 12:03:59,639",filter,519,INFO,sshd,Found,51.158.118.70,10/2/2020 12:03
"2020-10-02 12:03:59,781",actions,519,NOTICE,sshd,Ban,51.158.118.70,
"2020-10-02 12:04:01,339",filter,519,INFO,sshd,Found,51.158.118.70,10/2/2020 12:04
"2020-10-02 12:04:18,062",filter,519,INFO,sshd,Found,106.55.170.47,10/2/2020 12:04
"2020-10-02 12:04:18,063",filter,519,INFO,sshd,Found,106.55.170.47,10/2/2020 12:04
"2020-10-02 12:04:18,425",actions,519,NOTICE,sshd,Ban,106.55.170.47,
"2020-10-02 12:04:19,670",filter,519,INFO,sshd,Found,106.55.170.47,10/2/2020 12:04
"2020-10-02 12:06:24,389",filter,519,INFO,sshd,Found,123.206.104.162,10/2/2020 12:06
"2020-10-02 12:06:24,623",actions,519,NOTICE,sshd,Ban,123.206.104.162,
"2020-10-02 12:06:26,434",filter,519,INFO,sshd,Found,123.206.104.162,10/2/2020 12:06
"2020-10-02 12:07:17,204",filter,519,INFO,sshd,Found,157.231.102.250,10/2/2020 12:07
"2020-10-02 12:07:17,331",actions,519,NOTICE,sshd,Ban,157.231.102.250,
"2020-10-02 12:07:18,811",filter,519,INFO,sshd,Found,157.231.102.250,10/2/2020 12:07
"2020-10-02 12:10:10,081",filter,519,INFO,sshd,Found,50.100.113.207,10/2/2020 12:10
"2020-10-02 12:10:10,198",actions,519,NOTICE,sshd,Ban,50.100.113.207,
"2020-10-02 12:10:11,817",filter,519,INFO,sshd,Found,50.100.113.207,10/2/2020 12:10
"2020-10-02 12:10:21,879",filter,519,INFO,sshd,Found,103.28.32.18,10/2/2020 12:10
"2020-10-02 12:10:21,883",filter,519,INFO,sshd,Found,103.28.32.18,10/2/2020 12:10
"2020-10-02 12:10:22,234",actions,519,NOTICE,sshd,Ban,103.28.32.18,
"2020-10-02 12:10:24,589",filter,519,INFO,sshd,Found,103.28.32.18,10/2/2020 12:10
"2020-10-02 12:10:24,856",actions,519,NOTICE,sshd,already banned,103.28.32.18,
"2020-10-02 12:12:40,453",actions,519,NOTICE,sshd,Unban,122.170.116.221,
"2020-10-02 12:14:34,661",actions,519,NOTICE,sshd,Unban,51.178.53.233,
"2020-10-02 12:15:36,798",actions,519,NOTICE,sshd,Unban,159.203.190.189,
"2020-10-02 12:23:31,422",filter,519,INFO,sshd,Found,180.76.176.126,10/2/2020 12:23
"2020-10-02 12:23:31,423",filter,519,INFO,sshd,Found,180.76.176.126,10/2/2020 12:23
"2020-10-02 12:23:31,516",actions,519,NOTICE,sshd,Ban,180.76.176.126,
"2020-10-02 12:23:34,145",filter,519,INFO,sshd,Found,180.76.176.126,10/2/2020 12:23
