date 1,action,server port,message,ssh,perform,ip,date 2
"2020-09-20 02:51:10,916",filter,519,INFO,sshd,Found,207.244.70.35,9/20/2020 2:51
"2020-09-20 02:51:11,548",actions,519,NOTICE,sshd,Ban,207.244.70.35,
"2020-09-20 02:51:12,948",filter,519,INFO,sshd,Found,207.244.70.35,9/20/2020 2:51
"2020-09-20 02:51:48,055",filter,519,INFO,sshd,Found,45.154.168.201,9/20/2020 2:51
"2020-09-20 02:51:48,216",actions,519,NOTICE,sshd,Ban,45.154.168.201,
"2020-09-20 02:51:50,764",filter,519,INFO,sshd,Found,45.154.168.201,9/20/2020 2:51
"2020-09-20 02:51:56,249",actions,519,NOTICE,sshd,Unban,117.247.226.29,
"2020-09-20 02:52:08,292",actions,519,NOTICE,sshd,Unban,218.92.0.168,
"2020-09-20 02:52:23,877",filter,519,INFO,sshd,Found,185.220.102.243,9/20/2020 2:52
"2020-09-20 02:52:24,333",actions,519,NOTICE,sshd,Ban,185.220.102.243,
"2020-09-20 02:52:25,934",filter,519,INFO,sshd,Found,185.220.102.243,9/20/2020 2:52
"2020-09-20 02:52:29,843",filter,519,INFO,sshd,Found,222.186.173.215,9/20/2020 2:52
"2020-09-20 02:52:30,363",actions,519,NOTICE,sshd,Ban,222.186.173.215,
"2020-09-20 02:52:32,550",filter,519,INFO,sshd,Found,222.186.173.215,9/20/2020 2:52
"2020-09-20 02:52:32,583",actions,519,NOTICE,sshd,already banned,222.186.173.215,
"2020-09-20 02:53:00,964",filter,519,INFO,sshd,Found,185.220.102.247,9/20/2020 2:53
"2020-09-20 02:53:01,020",actions,519,NOTICE,sshd,Ban,185.220.102.247,
"2020-09-20 02:53:03,015",filter,519,INFO,sshd,Found,185.220.102.247,9/20/2020 2:53
"2020-09-20 02:53:03,050",actions,519,NOTICE,sshd,already banned,185.220.102.247,
"2020-09-20 02:53:36,689",filter,519,INFO,sshd,Found,192.42.116.26,9/20/2020 2:53
"2020-09-20 02:53:37,095",actions,519,NOTICE,sshd,Ban,192.42.116.26,
"2020-09-20 02:53:39,124",actions,519,NOTICE,sshd,Unban,59.108.246.162,
"2020-09-20 02:53:39,396",filter,519,INFO,sshd,Found,192.42.116.26,9/20/2020 2:53
"2020-09-20 02:54:14,928",filter,519,INFO,sshd,Found,23.129.64.188,9/20/2020 2:54
"2020-09-20 02:54:15,189",actions,519,NOTICE,sshd,Ban,23.129.64.188,
"2020-09-20 02:54:16,885",filter,519,INFO,sshd,Found,23.129.64.188,9/20/2020 2:54
"2020-09-20 02:54:47,251",actions,519,NOTICE,sshd,Unban,106.12.5.137,
"2020-09-20 02:54:52,614",filter,519,INFO,sshd,Found,23.129.64.182,9/20/2020 2:54
"2020-09-20 02:54:53,276",actions,519,NOTICE,sshd,Ban,23.129.64.182,
"2020-09-20 02:54:54,454",filter,519,INFO,sshd,Found,23.129.64.182,9/20/2020 2:54
"2020-09-20 02:55:28,462",filter,519,INFO,sshd,Found,185.220.102.252,9/20/2020 2:55
"2020-09-20 02:55:28,542",actions,519,NOTICE,sshd,Ban,185.220.102.252,
"2020-09-20 02:55:30,240",filter,519,INFO,sshd,Found,185.220.102.252,9/20/2020 2:55
"2020-09-20 02:56:04,991",filter,519,INFO,sshd,Found,185.220.102.244,9/20/2020 2:56
"2020-09-20 02:56:05,214",actions,519,NOTICE,sshd,Ban,185.220.102.244,
"2020-09-20 02:56:05,883",filter,519,INFO,sshd,Found,185.220.102.244,9/20/2020 2:56
"2020-09-20 02:56:23,259",actions,519,NOTICE,sshd,Unban,177.139.194.62,
"2020-09-20 02:56:40,895",filter,519,INFO,sshd,Found,209.95.51.11,9/20/2020 2:56
"2020-09-20 02:56:41,307",actions,519,NOTICE,sshd,Ban,209.95.51.11,
"2020-09-20 02:56:42,896",filter,519,INFO,sshd,Found,209.95.51.11,9/20/2020 2:56
"2020-09-20 02:57:17,666",filter,519,INFO,sshd,Found,212.47.229.4,9/20/2020 2:57
"2020-09-20 02:57:17,974",actions,519,NOTICE,sshd,Ban,212.47.229.4,
"2020-09-20 02:57:19,413",filter,519,INFO,sshd,Found,212.47.229.4,9/20/2020 2:57
"2020-09-20 02:57:55,365",filter,519,INFO,sshd,Found,45.15.16.115,9/20/2020 2:57
"2020-09-20 02:57:56,042",actions,519,NOTICE,sshd,Ban,45.15.16.115,
