id,type,
757,AS53184,
758,AS199524,
759,AS18779,
760,AS26599,
761,AS38264,
762,AS42183,
763,AS262545,
764,AS53123,
765,AS12252,
766,AS4795,
767,AS52936,
768,AS7470,
769,AS37219,
770,AS51604,
771,AS38553,
772,AS35612,
773,AS136557,
774,AS29091,
775,AS57354,
776,AS25528,
777,AS263433,
778,AS35805,
779,AS3491,
780,AS19037,
781,AS5410,
782,AS49019,
783,AS135235,
784,AS7623,
785,AS34177,
786,AS137697,
787,AS134312,
788,AS37002,
789,AS15964,
790,AS266063,
791,AS51754,
792,AS21599,
793,AS2118,
794,AS26210,
795,AS37709,
796,AS264086,
797,AS53006,
798,AS262481,
799,AS265382,
800,AS8376,
801,AS56019,
802,AS58946,
803,AS24863,
804,AS14868,
805,AS45769,
806,AS53089,
807,AS8767,
808,AS135887,
809,AS131423,
810,AS28387,
811,AS55947,
812,AS58813,
813,AS32738,
814,AS37054,
815,AS20845,
816,AS43824,
817,AS9105,
818,AS200350,
819,AS37223,
820,AS20473,
821,AS58763,
822,AS13046,
823,AS24088,
824,AS204925,
825,AS28546,
826,AS6712,
827,AS134765,
828,AS58461,
829,AS134928,
830,AS8928,
831,AS24515,
832,AS28226,
833,AS22690,
834,AS27715,
835,AS15589,
836,AS31148,
837,AS12301,
838,AS11814,
839,AS9541,
840,AS2554,
841,AS34610,
842,AS38091,
843,AS18001,
844,AS34602,
845,AS35730,
846,AS29614,
847,AS16397,
848,AS58640,
849,AS210135,
850,AS64111,
851,AS22313,
852,AS25472,
853,AS10733,
854,AS31483,
855,AS131090,
856,AS24320,
857,AS9038,
858,AS134763,
859,AS53242,
860,AS29571,
861,AS8447,
862,AS42683,
863,AS132111,
864,AS28666,
865,AS135371,
866,AS264268,
867,AS30781,
868,AS20251,
869,AS327795,
870,AS52512,
871,AS12493,
872,AS34470,
873,AS37340,
874,AS28118,
875,AS42610,
876,AS23688,
877,AS33576,
878,AS138296,
879,AS17924,
880,AS200590,
881,AS61226,
882,AS63760,
883,AS132462,
884,AS23655,
885,AS7303,
886,AS267535,
887,AS31261,
888,AS51852,
889,AS45634,
890,AS134674,
891,AS17747,
892,AS10139,
893,AS133800,
894,AS55699,
895,AS135225,
896,AS12357,
897,AS63996,
898,AS9891,
899,AS135678,
900,AS17917,
901,AS4721,
902,AS49052,
903,AS36873,
904,AS12670,
905,AS37090,
906,AS204833,
907,AS41557,
908,AS59349,
909,AS17964,
910,AS135918,
911,AS135391,
912,AS27895,
913,AS47196,
914,AS6325,
915,AS45727,
916,AS42807,
917,AS10297,
918,AS21859,
919,AS37100,
920,AS24337,
921,AS11404,
922,AS18209,
923,AS46375,
924,AS7459,
925,AS6866,
926,AS51291,
927,AS12768,
928,AS48832,
929,AS24945,
930,AS134285,
931,AS31213,
932,AS4007,
933,AS37596,
934,AS63356,
935,AS262308,
936,AS265147,
937,AS26592,
938,AS131775,
939,AS21554,
940,AS14506,
941,AS40237,
942,AS29119,
943,AS158,
944,AS4618,
945,AS38788,
946,AS29396,
947,AS24435,
948,AS63940,
949,AS135206,
950,AS25159,
951,AS59668,
952,AS31655,
953,AS135915,
954,AS38713,
955,AS132199,
956,AS266448,
957,AS58314,
958,AS138071,
959,AS266608,
960,AS135310,
961,AS31496,
962,AS9457,
963,AS131601,
964,AS45117,
965,AS15713,
966,AS6799,
967,AS133664,
968,AS24703,
969,AS327692,
970,AS198117,
971,AS31272,
972,AS24530,
973,AS136156,
974,AS36903,
975,AS36992,
976,AS25106,
977,AS24872,
978,AS17444,
979,AS134366,
980,AS48309,
981,AS37371,
982,AS138225,
983,AS12297,
984,AS15706,
985,AS60478,
986,AS55685,
987,AS61568,
988,AS136480,
989,AS41682,
990,AS18822,
991,AS37284,
992,AS9145,
993,AS132165,
994,AS24323,
995,AS131207,
996,AS266181,
997,AS136873,
998,AS37611,
999,AS35366,
1000,AS42560,
1001,AS37620,
1002,AS29684,
1003,AS16628,
1004,AS133775,
1005,AS45671,
1006,AS18678,
1007,AS23693,
1008,AS262838,
1009,AS9308,
1010,AS9230,
1011,AS58439,
1012,AS13536,
1013,AS5514,
1014,AS224,
1015,AS59588,
1016,AS4775,
1017,AS41665,
1018,AS37385,
1019,AS33915,
1020,AS36923,
1021,AS9924,
1022,AS29902,
1023,AS131486,
1024,AS133296,
1025,AS5432,
1026,AS262680,
1027,AS19108,
1028,AS138080,
1029,AS28509,
1030,AS50477,
1031,AS28624,
1032,AS264112,
1033,AS199653,
1034,AS38532,
1035,AS40065,
1036,AS17547,
1037,AS30900,
1038,AS138950,
1039,AS12617,
1040,AS39273,
1041,AS45223,
1042,AS268568,
1043,AS264491,
1044,AS11776,
1045,AS55850,
1046,AS12025,
1047,AS198496,
1048,AS24547,
1049,AS40788,
1050,AS196750,
1051,AS50214,
1052,AS6412,
1053,AS16959,
1054,AS265264,
1055,AS197155,
1056,AS38372,
1057,AS41750,
1058,AS46042,
1059,AS15694,
1060,AS28670,
1061,AS266623,
1062,AS4621,
1063,AS15440,
1064,AS37671,
1065,AS263774,
1066,AS63691,
1067,AS1659,
1068,AS9583,
